,id,title,is_paid,price,course_cover_image,headline,instructor,course_url,ratings
0,567828,2022 Complete Python Bootcamp From Zero to Hero in Python,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/567828_67d0.jpg,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,Jose Portilla,https://www.udemy.com/course/complete-python-bootcamp/,4.6
1,793796,Microsoft Excel - Excel from Beginner to Advanced,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/793796_0e89_2.jpg,"Excel with this A-Z Microsoft Excel Course. Microsoft Excel 2010, 2013, 2016, Excel 2019 and Microsoft/Office 365",Kyle Pew,https://www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/,4.7
2,625204,The Web Developer Bootcamp 2022,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/625204_436a_3.jpg,"COMPLETELY REDONE - The only course you need to learn web development - HTML, CSS, JS, Node, and More!",Colt Steele,https://www.udemy.com/course/the-web-developer-bootcamp/,4.7
3,1565838,The Complete 2022 Web Development Bootcamp,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/1565838_e54e_16.jpg,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, Web3 and DApps",Dr. Angela Yu,https://www.udemy.com/course/the-complete-web-development-bootcamp/,4.7
4,756150,Angular - The Complete Guide (2022 Edition),TRUE,FREE,https://img-c.udemycdn.com/course/480x270/756150_c033_2.jpg,"Master Angular 13 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",Maximilian Schwarzm??ller,https://www.udemy.com/course/the-complete-guide-to-angular-2/,4.7
5,533682,Java Programming Masterclass covering Java 11 & Java 17,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/533682_c10c_4.jpg,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,Tim Buchalka,https://www.udemy.com/course/java-the-complete-java-developer-course/,4.5
6,950390,Machine Learning A-Z??: Hands-On Python & R In Data Science,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/950390_270f_3.jpg,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,Kirill Eremenko,https://www.udemy.com/course/machinelearning/,4.6
7,1362070,"React - The Complete Guide (incl Hooks, React Router, Redux)",TRUE,FREE,https://img-c.udemycdn.com/course/480x270/1362070_b9a1_2.jpg,"Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",Academind by Maximilian Schwarzm??ller,https://www.udemy.com/course/react-the-complete-guide-incl-redux/,4.6
8,914296,The Complete Digital Marketing Course - 12 Courses in 1,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/914296_3670_8.jpg,"Master Digital Marketing Strategy, Social Media Marketing, SEO, YouTube, Email, Facebook Marketing, Analytics & More!",Rob Percival,https://www.udemy.com/course/learn-digital-marketing-course/,4.5
9,851712,The Complete JavaScript Course 2022: From Zero to Expert!,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/851712_fc61_6.jpg,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",Jonas Schmedtmann,https://www.udemy.com/course/the-complete-javascript-course/,4.8
10,762616,The Complete SQL Bootcamp 2022: Go from Zero to Hero,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/762616_7693_3.jpg,Become an expert at SQL!,Jose Portilla,https://www.udemy.com/course/the-complete-sql-bootcamp/,4.7
11,2196488,Ultimate AWS Certified Solutions Architect Associate 2022,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/2196488_8fc7_8.jpg,Full Practice Exam | Learn Cloud Computing | Pass the AWS Certified Solutions Architect Associate Certification SAA-C02!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/,4.7
12,2776760,100 Days of Code: The Complete Python Pro Bootcamp for 2022,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/2776760_f176_10.jpg,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",Dr. Angela Yu,https://www.udemy.com/course/100-days-of-code/,4.7
13,903744,Python for Data Science and Machine Learning Bootcamp,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/903744_8eb2.jpg,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",Jose Portilla,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,4.7
14,874012,The Ultimate Drawing Course - Beginner to Advanced,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/874012_c7f2_3.jpg,"Learn the #1 most important building block of all art, Drawing. This course will teach you how to draw like a pro!",Jaysen Batchelor,https://www.udemy.com/course/the-ultimate-drawing-course-beginner-to-advanced/,4.6
15,1754098,The Data Science Course 2022: Complete Data Science Bootcamp,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/1754098_e0df_3.jpg,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",365 Careers,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,4.6
16,857010,Learn Ethical Hacking From Scratch,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/857010_8239_2.jpg,Become an ethical hacker that can hack computer systems like black hat hackers and secure them like security experts.,Zaid Sabih,https://www.udemy.com/course/learn-ethical-hacking-from-scratch/,4.6
17,3142166,[NEW] Ultimate AWS Certified Cloud Practitioner - 2022,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/3142166_a637_2.jpg,Full Practice Exam included + explanations | Learn Cloud Computing | Pass the AWS Cloud Practitioner CLF-C01 exam!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",https://www.udemy.com/course/aws-certified-cloud-practitioner-new/,4.7
18,543600,Automate the Boring Stuff with Python Programming,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/543600_64d1_4.jpg,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",Al Sweigart,https://www.udemy.com/course/automate/,4.7
